LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,CAUSE,TS_INTENSITY
44.14,149.029,6.6,33.0,0,-3.0
38.3,15.967,6.9,13.0,0,4.0
34.53,24.437,5.6,33.0,0,1.0
36.195,1.354,7.7,10.0,1,2.0
-12.334,166.68400000000003,7.2,23.0,0,0.0
43.4,10.6,6.1,5.0,0,3.0
38.067,13.467,5.1,15.0,0,3.0
38.567,14.833,5.3,100.0,0,3.0
38.67,16.07,7.1,15.0,0,4.0
36.0,25.0,7.0,70.0,0,3.0
44.08,8.0,4.6,7.0,0,2.0
37.053,-24.427,6.5,16.0,0,1.0
38.727,-27.75,6.9,13.0,0,1.0
36.37,-6.98,4.4,30.0,0,1.0
6.0,122.0,8.6,33.0,0,1.0
-6.5,105.5,6.5,150.0,0,0.5
12.0,126.0,8.1,33.0,0,1.5
